region,prefecture,commune,population,population_partagee_avec,agences,agences_actives,agences_moov,agences_togocom,data_centers,points_mm,mm_moov,mm_togocom,mm_operateur_inconnu,population_fiable,hab_par_point_mm,points_mm_pour_10k_hab,dist_agence_km,agences_pour_100k_hab,D1_deficit_mm,D2_deficit_agences,D3_eloignement,D4_enjeu_demographique,DCPI,DCPI_rang,n_D1_deficit_mm,n_D2_deficit_agences,n_D3_eloignement,n_D4_enjeu_demographique,rang_DCPI
Savanes,Tône,Tône 1,211743,,2,2,1,1,0,946,661,892,34,True,223.82980972515853,44.67680159438565,1.3259327634942533,0.9445412599235866,223.82980972515853,-0.9445412599235866,1.3259327634942533,211743,33.825911482560834,34.188034188034194,1.0523196223959876,85.23146770692144,1.5494515237347428,59.07492894088995,64
Maritime,Vo,Vo 3,64651,,0,0,0,0,0,100,97,71,2,True,646.51,15.467664846638105,8.267972359997035,0.0,646.51,-0.0,8.267972359997035,64651,33.56183945686447,57.094017094017104,6.367545051909379,100.0,13.792421552044907,16.01735276640214,65
Centrale,Tchaoudjo,Tchaoudjo 4,20279,,0,0,0,0,0,33,6,33,0,True,614.5151515151515,16.272991764879926,14.092606492184036,0.0,614.5151515151515,-0.0,14.092606492184036,20279,33.41145427931368,49.35897435897436,5.965208164132557,100.0,24.06473707472823,3.0285378069592555,66
Centrale,Tchaoudjo,Tchaoudjo 3,17484,,0,0,0,0,0,65,25,62,2,True,268.9846153846154,37.1768474033402,16.961915385329256,0.0,268.9846153846154,-0.0,16.961915385329256,17484,33.20937853849755,36.581196581196586,1.6201436577495696,100.0,29.125045690432145,2.2103700928232497,67
Plateaux,Danyi,Danyi 2,14420,,0,0,0,0,0,43,33,36,2,True,335.3488372093023,29.81969486823856,16.750310172724504,0.0,335.3488372093023,-0.0,16.750310172724504,14420,33.18705977533308,39.52991452991452,2.4546772071526752,100.0,28.751859072905606,1.3134592248043861,68
Maritime,Agoè-Nyivé,Agoè-Nyivé 4,154431,,1,1,0,1,0,258,102,251,7,True,598.5697674418604,16.70649027721118,1.599668139634175,0.6475383828376426,598.5697674418604,-0.6475383828376426,1.599668139634175,154431,33.1659366175725,48.88888888888889,5.764694128084156,89.87530569207823,2.032210799187102,42.2982462816546,69
Kara,Kozah,Kozah 2,45704,,0,0,0,0,0,127,72,119,7,True,359.87401574803147,27.7875021879923,11.281422821507462,0.0,359.87401574803147,-0.0,11.281422821507462,45704,32.69987590679321,45.299145299145295,2.7630826059191675,100.0,19.1069380092336,10.471083113545285,70
Plateaux,Kpélé,Kpélé 2,27664,,0,0,0,0,0,71,55,71,0,True,389.63380281690144,25.66512434933488,13.397643098494504,0.0,389.63380281690144,-0.0,13.397643098494504,27664,32.689032321816065,42.991452991452995,3.1373134798631472,100.0,22.839100735229394,5.190315470248845,71
Kara,Kozah,Kozah 1,193625,,2,2,1,1,0,1366,782,1315,46,True,141.7459736456808,70.54874112330536,2.1664155348190235,1.0329244673983216,141.7459736456808,-1.0329244673983216,2.1664155348190235,193625,32.48061480901895,34.401709401709404,0.02011110418283203,83.84953733591564,3.031725606962972,53.771328710222264,72
Maritime,Zio,Zio 4,28704,,0,0,0,0,0,48,32,20,16,True,598.0,16.722408026755854,10.825134978702994,0.0,598.0,-0.0,10.825134978702994,28704,32.4017661487812,47.94871794871795,5.757529272797429,100.0,18.30222949294227,5.494749968532011,73
